,Name,City,Country,IATA,ICAO
1028,Fuerteventura Airport,Fuerteventura,Spain,FUE,GCFV
1029,Hierro Airport,Hierro,Spain,VDE,GCHI
1030,La Palma Airport,Santa Cruz De La Palma,Spain,SPC,GCLA
1031,Gran Canaria Airport,Gran Canaria,Spain,LPA,GCLP
1032,Lanzarote Airport,Arrecife,Spain,ACE,GCRR
1033,Tenerife South Airport,Tenerife,Spain,TFS,GCTS
1034,Tenerife Norte Airport,Tenerife,Spain,TFN,GCXO
1035,Melilla Airport,Melilla,Spain,MLN,GEML
1180,Albacete-Los Llanos Airport,Albacete,Spain,ABC,LEAB
1181,Alicante International Airport,Alicante,Spain,ALC,LEAL
1182,Almería International Airport,Almeria,Spain,LEI,LEAM
1183,Asturias Airport,Aviles,Spain,OVD,LEAS
1184,Córdoba Airport,Cordoba,Spain,ODB,LEBA
1185,Bilbao Airport,Bilbao,Spain,BIO,LEBB
1186,Barcelona International Airport,Barcelona,Spain,BCN,LEBL
1187,Badajoz Airport,Badajoz,Spain,BJZ,LEBZ
1188,A Coruña Airport,La Coruna,Spain,LCG,LECO
1189,Armilla Air Base,Granada,Spain,\N,LEGA
1190,Girona Airport,Gerona,Spain,GRO,LEGE
1191,Federico Garcia Lorca Airport,Granada,Spain,GRX,LEGR
1192,Getafe Air Base,Madrid,Spain,\N,LEGT
1193,Ibiza Airport,Ibiza,Spain,IBZ,LEIB
1194,Jerez Airport,Jerez,Spain,XRY,LEJR
1195,San Javier Airport,Murcia,Spain,MJV,LELC
1196,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD
1197,Málaga Airport,Malaga,Spain,AGP,LEMG
1198,Menorca Airport,Menorca,Spain,MAH,LEMH
1199,Moron Air Base,Sevilla,Spain,OZP,LEMO
1200,Ocaña Airport,Ocana,Spain,\N,LEOC
1201,Pamplona Airport,Pamplona,Spain,PNA,LEPP
1202,Alcantarilla Air Base,Murcia,Spain,\N,LERI
1203,Reus Air Base,Reus,Spain,REU,LERS
1204,Rota Naval Station Airport,Rota,Spain,ROZ,LERT
1205,Salamanca Airport,Salamanca,Spain,SLM,LESA
1206,Son Bonet Airport,Son Bonet,Spain,\N,LESB
1207,San Luis Airport,San Luis,Spain,\N,LESL
1208,San Sebastian Airport,San Sebastian,Spain,EAS,LESO
1209,Santiago de Compostela Airport,Santiago,Spain,SCQ,LEST
1210,Pirineus - la Seu d'Urgel Airport,Seo De Urgel,Spain,LEU,LESU
1211,Torrejón Airport,Madrid,Spain,TOJ,LETO
1212,Valencia Airport,Valencia,Spain,VLC,LEVC
1213,Valladolid Airport,Valladolid,Spain,VLL,LEVD
1214,Vitoria/Foronda Airport,Vitoria,Spain,VIT,LEVT
1215,Vigo Airport,Vigo,Spain,VGO,LEVX
1216,Santander Airport,Santander,Spain,SDR,LEXJ
1217,Zaragoza Air Base,Zaragoza,Spain,ZAZ,LEZG
1218,Sevilla Airport,Sevilla,Spain,SVQ,LEZL
3787,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA
4358,La Gomera Airport,La Gomera,Spain,GMZ,GCGM
4472,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain,RJL,LELO
5140,Leon Airport,Leon,Spain,LEN,LELN
5141,Burgos Airport,Burgos,Spain,RGS,LEBG
5217,Sabadell Airport,Sabadell,Spain,QSA,LELL
5600,Lleida-Alguaire Airport,Lleida,Spain,ILD,LEDA
5621,Huesca/Pirineos Airport,Huesca,Spain,HSK,LEHC
5622,Ciudad Real Central Airport,Ciudad Real,Spain,CQM,LERL
5775,La Cerdanya Airport,Das i Fontanals de Cerdanya,Spain,\N,LECD
6272,Fuentemilanos Airport,Segovia,Spain,\N,LEFM
6592,Central Bolívar Airport,Sevilla,Spain,\N,SVSJ
7115,Cuatro Vientos Airport,Madrid,Spain,ECV,LECU
7116,Castellón-Costa Azahar Airport,Castellón de la Plana,Spain,CDT,LEDS
7117,Teruel Airport,Teruel,Spain,TEV,LETL
7622,Algeciras Heliport,Algeciras,Spain,AEI,LEAG
7669,Región de Murcia International Airport,Murcia,Spain,RMU,LEMI
